

SET LINE 100
SET PAGES 20000
COLUMN VALUE FORMAT 99,99,999.99


COMPUTE SUM OF VALUE ON DIV_CD
COMPUTE SUM OF VALUE ON REPORT
BREAK ON REPORT ON DIV_CD

---COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE COUNT OF RTN_NO ON FL_MVH



TTITLE center 'Depot:'&&SC_CD', RECV_SUB Voucher of Date Expired Medicine' SKIP2



SPOOL ON

SELECT DISTINCT LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY,SUM(T_VAT*RV_QTY) VALUE
	FROM INV.RECV_SUB WHERE RV_DT BETWEEN '&DATE1' AND '&DATE2' 
	AND LOC_CD='&&SC_CD' 
	AND DIV_CD IN('1','2')
	AND RV_TYP='47' 
	---AND EXP_DT<='01AUG2022'
	GROUP BY LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY
	ORDER BY DIV_CD,EXP_DT,CAT_CD||PRD_CD

/

 
SPOOL OFF

ED ON.LST


==============================================================================


Date: 01-31 Dec'24

                         Depot:15, Receive Voucher of Date Expired Medicine                         
                                                                                                    
LO D FP_ID RV_NO   SUB_NO RV_DT     RV CAT_CD MFG_DT    EXP_DT    B_NO         RV_QTY         VALUE 
-- - ----- ------- ------ --------- -- ------ --------- --------- -------- ---------- ------------- 
15 1 27309 0005208 003920 15-DEC-24 47 051021 01-SEP-16 30-AUG-18 A0216003         .5         86.40 
15   20477 0005208 003917 15-DEC-24 47 071025 01-FEB-20 30-JAN-22 O025003           1        132.01 
15   22976 0005208 003850 15-DEC-24 47 081092 01-JAN-20 30-JAN-22 T082004           1        440.00 
15   22976 0005208 003918 15-DEC-24 47 081092 01-JAN-20 30-JAN-22 T0920004         .7        308.00 
15   28292 0005208 003740 15-DEC-24 47 081098 01-JAN-20 30-JAN-22 T0980001         .2         62.00 
15   07355 0005208 003912 15-DEC-24 47 081198 01-JAN-20 30-JAN-22 T198001           1        264.30 
15   22592 0005208 003899 15-DEC-24 47 081217 01-JAN-20 30-JAN-22 T2170001         .4         35.20 
15   27932 0005208 003736 15-DEC-24 47 081333 01-DEC-20 30-JAN-22 T3330008        .67         35.38 
15   21548 0005208 003751 15-DEC-24 47 161005 01-FEB-20 30-JAN-22 G005007           1         66.00 
15   28292 0005208 003811 15-DEC-24 47 081185 01-OCT-20 31-JAN-22 T1850004         .5         61.50 
15   21674 0005208 003784 15-DEC-24 47 071026 01-FEB-20 28-FEB-22 O0260001          1        334.43 
15   07355 0005208 003912 15-DEC-24 47 011010 01-AUG-20 30-MAR-22 C0100003         .4         56.56 
15   05J77 0005208 003922 15-DEC-24 47 011033 01-JAN-21 30-MAR-22 C0331014         .5         62.00 
15   05J77 0005208 003765 15-DEC-24 47 011049 01-APR-20 30-MAR-22 C0490002        .33        130.98 
15   27954 0005208 003901 15-DEC-24 47 021010 01-APR-20 30-MAR-22 E0100001          1         42.12 
15   05J77 0005208 003765 15-DEC-24 47 021013 01-MAR-20 30-MAR-22 E0132003          1         29.13 
15   22558 0005208 003790 15-DEC-24 47 031012 01-APR-20 30-MAR-22 P012009           1         83.86 
15   22128 0005208 003779 15-DEC-24 47 031035 01-APR-20 30-MAR-22 P0350014          1        281.62 
15   21912 0005208 003888 15-DEC-24 47 041001 01-MAR-20 30-MAR-22 D0010037          6         95.04 
15   05J77 0005208 003765 15-DEC-24 47 041010 01-APR-20 30-MAR-22 D010001           9        831.69 
15   05J77 0005208 003765 15-DEC-24 47 041021 01-APR-20 30-MAR-22 D0210002          6        844.86 
15   22128 0005208 003779 15-DEC-24 47 041031 01-MAR-20 30-MAR-22 D0310014          3         52.80 
15   22331 0005208 003792 15-DEC-24 47 051019 01-MAR-20 30-MAR-22 V0190002          1        114.75 
15   21548 0005208 003883 15-DEC-24 47 061002 01-APR-20 30-MAR-22 L0020020          2         61.62 
15   05J77 0005208 003765 15-DEC-24 47 061003 01-APR-20 30-MAR-22 L0030002          3         52.80 
15   22128 0005208 003897 15-DEC-24 47 061014 01-APR-20 30-MAR-22 L0140005          1         39.60 
15   28292 0005208 003915 15-DEC-24 47 061021 01-APR-20 30-MAR-22 L0210023         19      1,103.71 
15   05500 0005208 003952 15-DEC-24 47 061036 01-MAR-20 30-MAR-22 L0360010          1         66.00 
15   05J77 0005208 003765 15-DEC-24 47 061047 01-APR-20 30-MAR-22 L047003           2        158.42 
